URL Audit — polintel-feeds sources.yaml
Generated: 2026-03-26
Format: enabled  tier       status  name                                      url
========================================================================================================================

yes  dedicated  200  Civil Service Jobs                        https://www.civilservicejobs.service.gov.uk/csr/jobs.cgi
yes  dedicated  200  myjobscotland                             https://www.myjobscotland.gov.uk -> https://myjobscotland.gov.uk/
yes  dedicated  200  NICS                                      https://irecruit-ext.hrconnect.nigov.net/jobs/vacancies.aspx
yes  dedicated  200  LGA Jobs                                  https://www.careers.local.gov.uk/jobs
no   dedicated  405  Smart Thinking Jobs                       https://www.smartthinkingjobs.com
yes  dedicated  200  CharityJob                                https://www.charityjob.co.uk/jobs?keywords=policy+advocacy+public+affairs
yes  dedicated  200  Third Sector Jobs                         https://jp.thirdsector.co.uk/jobs/search
no   dedicated  200  Bond Jobs                                 https://my.bond.org.uk/s/jobs -> https://my.bond.org.uk/s/jobs?language=en_US
no   dedicated  403  Guardian Jobs                             https://jobs.theguardian.com/jobs/charities/
no   dedicated  200  Escape the City                           https://www.escapethecity.org/opportunities -> https://www.escapethecity.org/search/jobs
yes  dedicated  200  jobs.ac.uk                                https://www.jobs.ac.uk/search/politics-and-government
yes  generic    200  Civil Service Fast Stream                 https://www.faststream.gov.uk -> https://www.civil-service-careers.gov.uk/fast-stream/?utm_source=faststream.gov.uk&utm_medium=redirect&utm_campaign=301_redirect&utm_content=Home
yes  generic    200  FCDO                                      https://www.gov.uk/government/organisations/foreign-commonwealth-development-office/about/recruitment
yes  generic    200  HM Treasury                               https://www.gov.uk/government/organisations/hm-treasury/about/recruitment
yes  generic    200  Cabinet Office                            https://www.gov.uk/government/organisations/cabinet-office/about/recruitment
yes  generic    200  Home Office                               https://www.gov.uk/government/organisations/home-office/about/recruitment
yes  generic    200  Ministry of Defence                       https://www.gov.uk/government/organisations/ministry-of-defence/about/recruitment
yes  generic    200  Ministry of Justice                       https://www.gov.uk/government/organisations/ministry-of-justice/about/recruitment
yes  generic    200  Department for Education                  https://www.gov.uk/government/organisations/department-for-education/about/recruitment
yes  generic    200  DHSC                                      https://www.gov.uk/government/organisations/department-of-health-and-social-care/about/recruitment
yes  generic    200  SIS/MI6                                   https://www.sis.gov.uk/careers.html -> https://www.sis.gov.uk/careers/
yes  generic    403  MI5                                       https://www.mi5.gov.uk/careers
yes  generic    404  GCHQ                                      https://www.gchq.gov.uk/section/careers/overview
yes  generic    403  National Crime Agency                     https://www.nationalcrimeagency.gov.uk/careers
yes  generic    404  Crown Prosecution Service                 https://www.cps.gov.uk/careers
yes  generic    404  Ofcom                                     https://www.ofcom.org.uk/about-ofcom/jobs
yes  generic    404  Ofgem                                     https://www.ofgem.gov.uk/about-us/our-people/careers-ofgem
yes  generic    200  FCA                                       https://www.fca.org.uk/careers
yes  generic    200  CMA                                       https://www.gov.uk/government/organisations/competition-and-markets-authority/about/recruitment
yes  generic    200  Ofwat                                     https://www.ofwat.gov.uk/about-us/jobs/ -> https://www.ofwat.gov.uk/jobs/
yes  generic    403  Electoral Commission                      https://www.electoralcommission.org.uk/jobs
yes  generic    404  EHRC                                      https://www.equalityhumanrights.com/en/jobs
